code,name,past_p_change,past_positive
601288,农业银行,-7.30572517581,
300637,扬帆新材,-7.29887812172,★
002565,顺灏股份,-7.29880804282,★
600691,阳煤化工,-7.29441240768,★
600010,包钢股份,-7.29409214737,★
300309,吉艾科技,-7.27447432522,★
600531,豫光金铅,-7.26024880994,★
000967,盈峰环境,-7.25741348125,★
601717,郑煤机,-7.25130768442,★
002196,方正电机,-7.25095504035,★
600396,金山股份,-7.25061154972,★
601928,凤凰传媒,-7.24953909199,★
600423,*ST柳化,-7.24838193039,★
300239,东宝生物,-7.24508950927,★
600548,深高速,-7.23988157016,★
000668,荣丰控股,-7.23142640893,★
603012,创力集团,-7.22622668138,★
600426,华鲁恒升,-7.22440404033,★
002137,麦达数字,-7.22394590059,★
000729,燕京啤酒,-7.21261529556,★
603383,顶点软件,-7.20801753264,
600467,好当家,-7.20007811895,★
002711,欧浦智网,-7.19705032542,
600596,新安股份,-7.19305706062,★
600234,ST山水,-7.18501211155,★
600787,中储股份,-7.18253771862,★
000687,华讯方舟,-7.18132915291,★
300344,太空板业,-7.17760014023,★
600711,盛屯矿业,-7.17708682193,
300207,欣旺达,-7.17685430506,★
600717,天津港,-7.16256492791,★
300286,安科瑞,-7.16068376736,★
002299,圣农发展,-7.15488734369,★
300498,温氏股份,-7.1543361794,★
002481,双塔食品,-7.15063230314,★
300430,诚益通,-7.14189633733,★
300513,恒泰实达,-7.14115982602,★
600714,金瑞矿业,-7.12078029663,★
300618,寒锐钴业,-7.10930971613,
603367,辰欣药业,-7.10590037712,★
603229,奥翔药业,-7.10503102108,★
600127,金健米业,-7.09940920115,★
002741,光华科技,-7.09830981147,★
000400,许继电气,-7.08994968086,★
002036,联创电子,-7.07150271758,
002728,特一药业,-7.05961832003,★
000978,桂林旅游,-7.05725786256,★
600790,轻纺城,-7.05300892969,★
603665,康隆达,-7.04591456957,★
300679,电连技术,-7.04338930971,★
300613,富瀚微,-7.03359249445,★
603929,亚翔集成,-6.99480091034,★
600572,康恩贝,-6.99151032363,
002135,东南网架,-6.98693959843,★
603027,千禾味业,-6.98614721601,★
300098,高新兴,-6.9850087584,★
002680,长生生物,-6.97937712302,★
300687,赛意信息,-6.9767111534,★
600190,锦州港,-6.96038493318,★
